Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
3	3	68.1908	-19.422	-460.069	115475	-32064.5	25702	630.305	-250.994	0	63.7698	4.42101	-14.7446	34.1666	159.872	293.76	5.96131	0.47489	-63.777	-4.70686	-476.255	119705	41235.1	-21638.6	86.582	-251.347	0	-55.6349	-8.14208	24.4736	-19.7667	337.407	131.295	14.8802	-7.32605	4.41378	-24.1289	-936.324	235180	331219	-9532	353.744	-251.174	0
3	4	68.3929	-19.4067	-460.879	115856	-31834.9	25752	630.926	-251.381	0	63.848	4.54488	-14.8995	34.3062	160.618	294.152	5.40797	0.700771	-63.9947	-4.81653	-476.221	119625	41373.6	-21607.5	86.8789	-251.196	0	-55.7283	-8.26643	24.4736	-19.6571	337.276	131.262	14.5869	-6.90363	4.39817	-24.2232	-937.1	235481	332154	-9440.17	354.449	-251.287	0
3	5	68.7673	-19.4216	-461.826	116068	-32102.8	25698.5	630.487	-251.323	0	64.0511	4.71615	-14.745	34.1666	160.781	294.87	5.76525	0.409583	-64.4147	-4.9098	-476.45	119866	41425	-21610.2	86.9451	-251.582	0	-55.9308	-8.48383	24.5358	-19.626	337.732	131.392	14.49	-7.16403	4.35262	-24.3314	-938.275	235934	332600	-9506.75	354.48	-251.455	0
3	6	69.0954	-19.2359	-462.933	116008	-32172	25780.6	630.504	-250.594	0	64.2858	4.80962	-14.9458	34.1818	160.781	295.295	6.02695	0.830472	-64.4455	-4.86264	-477.163	120036	41344.7	-21675.2	86.647	-251.562	0	-56.0397	-8.40581	24.5512	-19.6886	337.861	131.943	14.49	-7.13095	4.64992	-24.0986	-940.096	236044	333226	-9359.72	354.46	-251.085	0
3	7	69.221	-19.2511	-464.462	116658	-32171.3	25840.8	630.734	-251.167	0	64.4579	4.76313	-14.9463	34.1975	161.818	296.273	5.79909	0.572027	-64.1183	-4.84752	-478.104	120265	41638.5	-21583.2	87.0908	-251.546	0	-55.7433	-8.37492	24.489	-19.6415	338.772	131.942	14.23	-6.83922	5.10276	-24.0986	-942.566	236923	334590	-9218.17	354.978	-251.36	0
3	8	69.736	-18.8325	-465.049	116845	-32192.8	25927.8	630.776	-251.254	0	64.8642	4.87176	-15.1783	34.0108	162.079	296.633	5.7334	0.603684	-64.6638	-4.78503	-477.778	120520	41524.3	-21634.7	86.9113	-252.252	0	-56.1024	-8.56142	24.4736	-19.6886	338.738	132.298	14.0354	-7.29373	5.07215	-23.6175	-942.827	237366	334866	-8889.71	355.172	-251.76	0
3	9	69.6743	-18.7862	-465.765	117219	-32218	25989.9	630.828	-251.67	0	64.7713	4.90309	-15.4264	34.2126	162.597	297.187	5.60306	0.376945	-64.5076	-4.70645	-478.169	120439	41681.8	-21741.9	87.1695	-251.876	0	-56.1485	-8.35911	24.5358	-19.8293	339.063	132.006	14.1331	-7.03347	5.16676	-23.4927	-943.934	237658	335499	-8902.35	355.426	-251.774	0
4	0	69.94	-18.8637	-466.84	117344	-32372.9	26107.6	630.655	-251.357	0	65.1612	4.7788	-15.3494	34.2131	162.728	297.84	5.83087	0.44126	-64.6789	-4.81511	-479.338	120536	41743.2	-21725.2	87.0853	-251.464	0	-56.133	-8.54596	24.6755	-19.8604	339.68	132.169	14.4254	-6.93674	5.2611	-23.6788	-946.178	237880	336158	-8822.22	355.28	-251.411	0
4	1	70.2678	-18.8177	-467.98	117658	-32448.7	26141.4	630.662	-251.417	0	65.3339	4.93389	-15.442	34.2597	163.117	298.623	5.76627	0.473963	-64.6162	-4.97033	-479.986	120732	41495.5	-21741.7	86.4516	-251.532	0	-56.0706	-8.5456	24.8308	-19.8604	339.94	132.622	14.88	-7.45566	5.6516	-23.788	-947.966	238390	336633	-8772.68	355.111	-251.476	0
4	2	70.2675	-18.8631	-469.121	117767	-32538.1	25970.9	630.64	-251.039	0	65.1623	5.10518	-15.2256	34.0887	163.215	299.309	5.86373	0.733365	-64.6476	-4.81434	-480.862	120983	41708.8	-21751.4	86.7374	-251.596	0	-56.1175	-8.53015	24.7373	-19.923	340.623	132.848	14.587	-7.1955	5.61987	-23.6774	-949.983	238751	337555	-8984.67	355.328	-251.321	0
