Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
3	3	42.9293	-1.99673	-352.878	-52801.5	-20403.6	-4808.26	642.179	149.631	0	19.1299	23.7994	9.55597	-7.55924	40.7127	34.3421	186.486	91.3367	-41.1339	-10.9606	-378.38	-53416	35812.4	3199.33	94.6468	141.171	0	-16.5052	-24.6287	2.89171	8.06892	66.0377	21.2932	86.6444	204.404	1.79541	-12.9574	-731.257	-106218	262423	-3006.64	358.866	145.253	0
3	4	42.9834	-1.96075	-353.02	-52677.9	-20278.5	-4812.02	642.557	149.221	0	19.157	23.8264	9.54701	-7.58626	40.9809	34.3799	186.216	91.4427	-41.1531	-10.6689	-378.565	-53483.3	35809	3196.31	94.5914	141.279	0	-16.6231	-24.53	2.61896	8.04994	65.8556	21.4157	86.6247	204.669	1.83033	-12.6296	-731.585	-106161	262644	-2988.23	359.007	145.111	0
3	5	42.8458	-1.89292	-351.888	-52810.2	-20312.9	-4704.14	642.274	150.077	0	19.157	23.6888	9.34143	-7.44851	40.5881	33.9469	186.178	91.1743	-41.0846	-10.698	-378.747	-53457.7	35836.2	3147.18	94.6176	141.143	0	-16.5052	-24.5794	2.854	7.84397	65.9786	21.4354	86.6247	204.709	1.76126	-12.5909	-730.635	-106268	261845	-2882	358.38	145.446	0
3	6	42.8271	-2.08997	-352.743	-52725.6	-20229.9	-4776.08	642.65	149.473	0	19.0187	23.8084	9.45157	-7.3616	40.9621	34.1789	186.178	91.4239	-41.1437	-11.1868	-378.197	-53398.6	35783	3130.81	94.6145	141.193	0	-16.6231	-24.5206	3.02807	8.15876	65.8556	21.4354	86.4821	204.424	1.68343	-13.2768	-730.941	-106124	262473	-3108.25	359.09	145.189	0
3	7	42.8955	-1.90996	-353.022	-52666.2	-20432.6	-4913.34	642.121	149.187	0	18.9315	23.964	9.53804	-7.62808	40.875	34.5053	186.467	91.1743	-41.3577	-10.98	-378.689	-53527.7	35962.8	3211.16	94.9665	141.35	0	-16.642	-24.7157	2.8424	8.13759	66.1212	21.1511	86.605	204.812	1.53777	-12.8899	-731.711	-106194	262645	-3039.15	358.947	145.131	0
3	8	42.9048	-2.29503	-353.614	-53051.2	-20219.1	-4893.75	642.821	150.026	0	18.9916	23.9132	9.75257	-7.45754	40.8562	34.1102	186.649	91.9983	-41.5228	-11.0781	-378.911	-53515.4	35844.9	3129.54	94.5998	141.235	0	-16.7788	-24.744	3.01863	8.05944	66.1607	21.2539	86.9099	204.586	1.382	-13.3731	-732.524	-106567	263155	-3370.73	359.245	145.478	0
3	9	42.9743	-1.93756	-353.977	-52860.8	-20250.9	-4777.7	642.79	149.334	0	19.1389	23.8354	9.43691	-7.49935	40.9997	34.4863	186.524	91.9676	-41.132	-10.8924	-379.073	-53539.6	35838	3159.79	94.5413	141.238	0	-16.5925	-24.5395	2.84241	8.04994	66.1607	21.2736	86.9494	204.689	1.8423	-12.8299	-733.05	-106400	263371	-2974.2	359.281	145.148	0
4	0	42.9827	-2.02138	-354.448	-52798.5	-20350.2	-4805.92	642.586	148.96	0	19.0188	23.964	9.39202	-7.37064	41.4488	34.3988	187.082	91.518	-41.3486	-11.1367	-379.093	-53703	35791.1	3072.88	94.4124	141.662	0	-16.7693	-24.5794	3.08678	8.04994	66.018	21.1315	87.2345	204.709	1.6341	-13.1581	-733.54	-106501	263554	-3148	359.291	145.188	0
4	1	42.9132	-2.10794	-353.208	-52759.1	-20267.9	-4879.76	642.618	149.371	0	18.8623	24.0508	9.46053	-7.35259	41.0749	34.2356	186.436	91.4615	-41.2491	-10.9705	-377.81	-53531.5	35808.7	3273.76	94.7798	141.689	0	-16.4558	-24.7933	2.85187	8.11858	65.713	21.1118	86.5611	204.424	1.66405	-13.0784	-731.018	-106291	262787	-3081.56	359.48	145.401	0
4	2	43.043	-2.04772	-353.326	-52751.9	-20261.4	-4824.33	642.655	149.301	0	19.1208	23.9223	9.53802	-7.49031	41.1619	34.2167	186.486	91.4615	-41.0256	-10.9417	-378.345	-53467.6	35833.7	3221.47	94.7118	141.32	0	-16.4084	-24.6171	2.88226	8.05945	65.9587	21.2539	86.605	204.527	2.01746	-12.9894	-731.671	-106220	262900	-3036.26	359.315	145.174	0
