Devices
1000
		FP_links - Force			FP_links - Moment			FP_links - CoP			FP_links - Raw								FP_rechts - Force			FP_rechts - Moment			FP_rechts - CoP			FP_rechts - Raw								Combined Force			Combined Moment			Combined CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	FX12	FX34	FY14	FY23	FZ1	FZ2	FZ3	FZ4	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	V	V	V	V	V	V	V	V	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
3	3	122.343	-2.87641	-933.301	195952	-59810.1	30857.7	635.916	-209.956	0	104.35	17.9926	-18.573	21.4494	300.236	543.472	53.6403	35.9524	-178.169	-29.0705	-1035.5	244240	61975.9	-44114.7	59.8514	-235.867	0	-141.034	-37.1352	55.2519	-26.1814	660.2	329.533	58.0463	-12.2822	-55.8263	-31.9469	-1968.8	440192	655477	-15270.4	332.932	-223.584	0
3	4	122.412	-2.94524	-933.519	195771	-59896.4	30822.6	635.838	-209.713	0	104.324	18.0878	-18.53	21.4752	300.038	543.436	53.9847	36.0605	-178.194	-29.174	-1036.1	244457	61979.3	-44077.8	59.82	-235.94	0	-141.025	-37.1695	55.2427	-26.0688	660.596	329.862	58.0129	-12.3727	-55.7821	-32.1192	-1969.62	440227	655546	-15316.9	332.829	-223.509	0
3	5	122.144	-2.95415	-934.352	195845	-59977.1	30843.6	635.809	-209.606	0	104.22	17.9236	-18.5385	21.4927	300.182	543.853	54.2025	36.1149	-178.291	-29.2176	-1036.56	244679	61954.5	-44097.5	59.7694	-236.049	0	-141.121	-37.1695	55.2519	-26.0343	660.74	330.38	57.7933	-12.3536	-56.1468	-32.1717	-1970.91	440524	656024	-15321.8	332.853	-223.513	0
3	6	122.126	-2.59116	-934.515	196035	-59919.6	30782	635.882	-209.772	0	104.177	17.9493	-18.616	21.2072	300.381	544.071	53.9307	36.1328	-178.35	-29.0344	-1036.87	244691	62074.1	-44156.4	59.8668	-235.989	0	-141.268	-37.0828	55.156	-26.1216	661.103	330.181	57.8696	-12.2822	-56.2243	-31.6256	-1971.39	440725	656315	-15188.2	332.921	-223.561	0
3	7	122.108	-2.34041	-934.209	195900	-60081.7	30680.7	635.687	-209.696	0	104.012	18.0964	-18.6935	21.0339	299.858	544.161	54.0753	36.1149	-178.49	-28.9497	-1036.69	244591	62010.6	-44130.8	59.8161	-235.936	0	-141.302	-37.1877	55.0966	-26.1469	661.117	329.876	58.2468	-12.5537	-56.3816	-31.2901	-1970.9	440491	655876	-15088.4	332.78	-223.498	0
3	8	122.082	-2.39196	-934.77	195883	-60115.5	30712.6	635.69	-209.552	0	104.081	18.0014	-18.642	21.0339	300.038	544.234	54.3657	36.1328	-178.366	-28.8884	-1036.71	244627	62086.6	-44090.3	59.888	-235.965	0	-141.215	-37.1513	55.0008	-26.1124	661.356	329.714	58.2278	-12.5871	-56.2839	-31.2803	-1971.48	440510	656310	-15052.1	332.902	-223.441	0
3	9	122.03	-2.20241	-935.275	195891	-60007.2	30711.7	635.84	-209.447	0	104.046	17.9839	-18.745	20.9475	300.291	544.234	54.3657	36.3853	-178.378	-28.4809	-1037.25	244794	62108.4	-44084.7	59.878	-236.003	0	-141.233	-37.1443	54.768	-26.2871	661.714	329.914	58.2468	-12.6251	-56.3471	-30.6833	-1972.53	440685	656794	-14914.7	332.971	-223.411	0
4	0	121.83	-1.95215	-935.185	195755	-59979.9	30602	635.863	-209.323	0	103.69	18.1396	-18.926	20.8781	300.146	544.053	54.4563	36.5299	-178.419	-28.3714	-1037.21	244825	61943.9	-44116.4	59.7216	-236.042	0	-141.389	-37.0303	54.6218	-26.2504	661.442	330.219	58.3185	-12.7681	-56.5894	-30.3236	-1972.4	440581	656594	-14880.9	332.891	-223.373	0
4	1	121.812	-1.74454	-936.289	195684	-60135.2	30514.2	635.773	-209	0	103.603	18.2088	-18.9175	20.662	300.056	544.541	54.8912	36.8003	-178.534	-28.3011	-1037.16	244721	61983.4	-44109	59.7627	-235.953	0	-141.501	-37.0324	54.5009	-26.1997	661.408	330.019	58.4091	-12.6776	-56.7217	-30.0457	-1973.45	440405	657251	-14816	333.047	-223.165	0
4	2	121.579	-1.47603	-936.42	195512	-60281.6	30472.5	635.625	-208.787	0	103.542	18.0361	-18.883	20.359	299.714	544.597	55.2722	36.8368	-178.531	-27.9902	-1037.23	244819	61982.5	-44000.8	59.7577	-236.031	0	-141.362	-37.1695	54.259	-26.2687	661.552	330.076	58.3901	-12.7871	-56.9525	-29.4663	-1973.65	440331	657195	-14561.5	332.984	-223.105	0
